Crop,N_Effect,P_Effect,K_Effect,pH_Effect
Rice,-131.35,-27.23,-100.2,-0.439
Rice,-112.03,-26.52,-114.42,-0.357
Rice,-136.89,-27.29,-99.93,-0.346
Rice,-127.51,-20.32,-102.16,-0.591
Rice,-108.77,-26.01,-111.08,-0.518
Rice,-135.01,-23.65,-89.2,-0.413
Rice,-112.5,-21.57,-110.83,-0.538
Rice,-100.71,-21.49,-117.64,-0.435
Rice,-129.57,-20.27,-107.11,-0.571
Rice,-113.64,-24.15,-100.71,-0.516
Rice,-108.39,-20.32,-80.84,-0.548
Rice,-122.09,-26.98,-118.97,-0.522
Rice,-103.71,-24.21,-119.98,-0.488
Rice,-125.06,-20.93,-105.05,-0.41
Rice,-118.05,-22.69,-119.48,-0.428
Rice,-137.7,-26.4,-119.35,-0.542
Rice,-123.42,-22.32,-85.67,-0.502
Rice,-123.25,-22.27,-87.26,-0.577
Rice,-100.52,-20.64,-105.94,-0.418
Rice,-104.31,-21.29,-82.57,-0.497
Rice,-104.32,-21.11,-119.9,-0.561
Rice,-118.74,-26.62,-111.8,-0.39
Rice,-104.56,-23.01,-107.45,-0.462
Rice,-139.96,-28.39,-98.97,-0.318
Rice,-107.86,-27.58,-113.07,-0.595
Rice,-117.5,-24.97,-82.16,-0.41
Rice,-127.11,-24.02,-95.48,-0.407
Rice,-139.83,-20.92,-105.89,-0.489
Rice,-125.34,-22.82,-98.98,-0.398
Rice,-127.54,-27.78,-91.83,-0.582
Rice,-108.19,-22.92,-107.26,-0.561
Rice,-106.8,-23.41,-93.31,-0.527
Rice,-121.46,-20.75,-102.78,-0.45
Rice,-131.23,-28.06,-84.9,-0.376
Rice,-110.52,-29.67,-94.65,-0.348
Rice,-135.88,-24.77,-102.56,-0.515
Rice,-135.22,-20.24,-84.14,-0.6
Rice,-133.14,-21.47,-91.62,-0.381
Rice,-124.19,-25.25,-99.08,-0.375
Rice,-122.17,-26.61,-98.73,-0.355
Rice,-110.3,-27.29,-81.45,-0.352
Rice,-134.64,-24.09,-99.93,-0.548
Rice,-137.59,-26.35,-86.45,-0.34
Rice,-122.94,-23.93,-97.27,-0.34
Rice,-137.87,-29.8,-111.11,-0.529
Rice,-106.21,-26.74,-106.49,-0.596
Rice,-138.56,-21.79,-119.03,-0.51
Rice,-105.33,-28.54,-105.52,-0.308
Rice,-134.2,-24.58,-90.65,-0.467
Rice,-112.42,-26.76,-86.01,-0.476
Rice,-109.27,-26.22,-104.27,-0.432
Rice,-100.1,-23.31,-82.0,-0.595
Rice,-133.88,-22.9,-87.21,-0.343
Rice,-102.06,-21.81,-106.69,-0.443
Rice,-122.35,-22.37,-106.24,-0.356
Rice,-100.98,-23.07,-97.88,-0.474
Rice,-130.45,-23.23,-115.97,-0.337
Rice,-125.0,-20.75,-101.09,-0.375
Rice,-120.47,-24.04,-93.35,-0.504
Rice,-124.47,-29.57,-88.08,-0.539
Rice,-114.66,-26.88,-89.45,-0.59
Rice,-105.18,-27.3,-93.65,-0.321
Rice,-114.84,-28.69,-116.2,-0.57
Rice,-114.94,-27.51,-107.58,-0.513
Rice,-101.96,-20.7,-97.35,-0.341
Rice,-101.85,-27.21,-89.37,-0.431
Rice,-101.71,-22.28,-84.85,-0.466
Rice,-125.02,-24.07,-98.82,-0.586
Rice,-128.11,-20.3,-116.83,-0.327
Rice,-121.95,-21.85,-94.37,-0.386
Rice,-131.47,-27.64,-100.49,-0.468
Rice,-128.57,-25.5,-89.7,-0.515
Rice,-113.51,-28.77,-109.63,-0.518
Rice,-130.45,-29.41,-87.56,-0.361
Rice,-101.37,-29.64,-91.03,-0.352
Rice,-114.23,-21.49,-98.76,-0.366
Rice,-131.57,-29.82,-92.99,-0.354
Rice,-121.07,-24.95,-80.19,-0.56
Rice,-114.75,-21.37,-106.48,-0.322
Rice,-117.3,-22.77,-106.7,-0.523
Rice,-132.94,-24.09,-107.01,-0.393
Rice,-137.26,-25.96,-112.82,-0.379
Rice,-107.59,-26.9,-107.29,-0.576
Rice,-112.37,-28.51,-104.89,-0.41
Rice,-132.57,-22.21,-94.36,-0.438
Rice,-123.91,-23.88,-107.46,-0.371
Rice,-118.95,-29.4,-105.94,-0.466
Rice,-116.31,-26.91,-108.89,-0.422
Rice,-117.08,-23.88,-83.98,-0.465
Rice,-129.36,-23.6,-102.1,-0.386
Rice,-113.88,-25.21,-95.31,-0.459
Rice,-114.16,-20.64,-90.39,-0.516
Rice,-135.82,-22.39,-114.85,-0.398
Rice,-110.95,-22.18,-90.11,-0.477
Rice,-109.72,-26.41,-94.29,-0.555
Rice,-105.81,-25.28,-104.0,-0.445
Rice,-127.43,-27.13,-104.78,-0.489
Cotton,-87.53,-22.36,-86.16,-0.219
Cotton,-80.3,-20.1,-75.85,-0.129
Cotton,-95.36,-25.46,-97.67,-0.126
Cotton,-92.11,-35.29,-76.63,-0.237
Cotton,-97.75,-24.6,-82.52,-0.154
Cotton,-109.15,-21.74,-72.59,-0.165
Cotton,-101.79,-24.0,-65.59,-0.158
Cotton,-81.19,-36.07,-85.0,-0.26
Cotton,-117.08,-26.41,-87.31,-0.167
Cotton,-93.13,-20.33,-71.66,-0.162
Cotton,-117.33,-27.46,-98.78,-0.139
Cotton,-91.72,-22.83,-71.15,-0.186
Cotton,-100.44,-30.09,-93.14,-0.283
Cotton,-90.38,-29.26,-83.57,-0.143
Cotton,-83.9,-32.55,-60.56,-0.162
Cotton,-99.1,-24.44,-60.37,-0.212
Cotton,-104.03,-28.42,-67.42,-0.237
Cotton,-82.02,-27.56,-69.29,-0.221
Cotton,-105.08,-38.09,-92.23,-0.279
Cotton,-95.62,-28.23,-77.92,-0.13
Cotton,-114.61,-23.79,-91.9,-0.147
Cotton,-117.27,-27.05,-82.83,-0.196
Cotton,-86.99,-39.36,-93.63,-0.123
Cotton,-118.01,-25.4,-99.32,-0.277
Cotton,-87.41,-29.61,-60.15,-0.126
Cotton,-91.91,-39.17,-71.58,-0.178
Cotton,-101.76,-27.14,-77.7,-0.252
Cotton,-104.54,-31.68,-96.13,-0.283
Cotton,-83.02,-28.91,-68.41,-0.139
Cotton,-111.62,-24.51,-94.77,-0.171
Cotton,-104.86,-38.48,-83.8,-0.134
Cotton,-95.89,-35.9,-61.62,-0.116
Cotton,-112.16,-35.58,-76.59,-0.279
Cotton,-108.84,-28.55,-95.8,-0.161
Cotton,-117.24,-26.36,-91.38,-0.267
Cotton,-99.22,-33.3,-96.2,-0.166
Cotton,-119.85,-24.7,-93.42,-0.232
Cotton,-90.05,-29.91,-61.6,-0.17
Cotton,-108.36,-32.64,-96.97,-0.269
Cotton,-104.68,-38.06,-96.02,-0.175
Cotton,-89.66,-26.75,-96.68,-0.247
Cotton,-89.25,-25.15,-99.71,-0.242
Cotton,-100.18,-30.1,-95.6,-0.219
Cotton,-110.79,-35.18,-91.03,-0.23
Cotton,-90.17,-29.84,-91.69,-0.104
Cotton,-109.1,-34.91,-81.68,-0.161
Cotton,-118.74,-25.35,-71.75,-0.269
Cotton,-90.24,-39.89,-76.68,-0.239
Cotton,-80.64,-24.43,-79.99,-0.225
Cotton,-83.68,-31.85,-94.87,-0.161
Cotton,-97.72,-22.92,-95.86,-0.284
Cotton,-84.42,-25.37,-70.16,-0.288
Cotton,-96.72,-37.27,-92.01,-0.127
Cotton,-92.5,-26.63,-82.63,-0.169
Cotton,-112.78,-29.23,-66.68,-0.263
Cotton,-96.14,-29.15,-96.58,-0.279
Cotton,-109.63,-21.1,-92.11,-0.192
Cotton,-85.46,-36.63,-95.39,-0.209
Cotton,-106.32,-37.87,-62.09,-0.126
Cotton,-104.86,-34.82,-81.96,-0.246
Cotton,-90.04,-37.3,-72.56,-0.109
Cotton,-107.16,-28.98,-98.22,-0.251
Cotton,-103.66,-32.3,-80.72,-0.113
Cotton,-92.15,-39.71,-87.73,-0.177
Cotton,-98.26,-30.79,-74.81,-0.192
Cotton,-107.75,-26.21,-66.22,-0.16
Cotton,-89.89,-35.35,-67.43,-0.167
Cotton,-119.43,-21.36,-94.97,-0.255
Cotton,-104.37,-23.63,-74.08,-0.137
Cotton,-82.32,-21.46,-78.11,-0.179
Cotton,-89.87,-32.06,-69.17,-0.114
Cotton,-81.79,-38.05,-90.45,-0.26
Cotton,-84.51,-30.57,-67.98,-0.239
Cotton,-82.4,-29.82,-68.69,-0.288
Cotton,-82.23,-35.03,-96.37,-0.125
Cotton,-104.93,-26.58,-67.62,-0.175
Cotton,-113.19,-21.8,-69.75,-0.295
Cotton,-104.18,-37.55,-79.93,-0.263
Cotton,-119.19,-34.69,-83.38,-0.144
Cotton,-92.39,-27.43,-62.59,-0.276
Cotton,-80.28,-24.42,-73.68,-0.127
Cotton,-108.69,-30.99,-76.08,-0.246
Cotton,-113.02,-31.54,-71.01,-0.241
Cotton,-105.03,-23.89,-65.43,-0.159
Cotton,-101.29,-32.63,-67.35,-0.136
Cotton,-83.66,-39.89,-62.16,-0.21
Cotton,-103.85,-29.53,-64.44,-0.171
Cotton,-98.83,-38.31,-80.43,-0.147
Cotton,-106.69,-34.66,-87.74,-0.26
Cotton,-97.0,-32.27,-73.72,-0.237
Cotton,-116.79,-33.55,-62.16,-0.109
Cotton,-93.92,-24.05,-76.65,-0.119
Cotton,-102.36,-21.79,-88.44,-0.281
Cotton,-112.32,-30.77,-91.21,-0.282
Cotton,-115.68,-28.12,-97.33,-0.149
Cotton,-112.62,-34.78,-73.73,-0.101
Cotton,-100.42,-36.67,-83.78,-0.139
Cotton,-103.74,-37.02,-84.24,-0.183
Cotton,-91.47,-38.36,-92.17,-0.226
Cotton,-100.83,-39.36,-71.78,-0.153
Cotton,-119.85,-20.58,-72.57,-0.24
Cotton,-113.52,-25.34,-88.16,-0.118
Cotton,-108.31,-37.68,-83.38,-0.207
Cotton,-98.13,-37.83,-61.05,-0.146
Cotton,-98.99,-21.38,-73.95,-0.281
Cotton,-84.23,-24.32,-79.18,-0.287
Cotton,-83.1,-24.78,-61.3,-0.249
Cotton,-94.23,-28.86,-72.57,-0.262
Cotton,-103.27,-23.95,-88.58,-0.238
Cotton,-108.18,-21.59,-67.75,-0.209
Cotton,-86.12,-31.25,-65.09,-0.23
Cotton,-118.72,-31.85,-93.95,-0.136
Cotton,-110.26,-21.76,-63.35,-0.124
Cotton,-98.99,-36.42,-71.54,-0.167
Cotton,-90.77,-39.18,-65.84,-0.139
Cotton,-96.48,-32.8,-79.48,-0.223
Cotton,-112.53,-25.04,-97.92,-0.103
Cotton,-105.13,-37.35,-75.87,-0.182
Cotton,-109.29,-26.15,-91.39,-0.222
Cotton,-116.37,-32.77,-61.96,-0.251
Cotton,-99.19,-36.65,-68.66,-0.258
Cotton,-118.28,-26.28,-93.04,-0.104
Cotton,-118.75,-30.89,-99.54,-0.174
Cotton,-84.48,-38.84,-71.53,-0.209
Cotton,-106.06,-26.86,-67.11,-0.191
Cotton,-105.03,-33.52,-71.03,-0.101
Cotton,-119.37,-25.99,-64.04,-0.16
Cotton,-96.87,-36.94,-74.94,-0.152
Cotton,-87.38,-31.79,-63.77,-0.207
Cotton,-107.6,-20.58,-84.76,-0.162
Cotton,-84.4,-31.41,-63.24,-0.139
Cotton,-116.87,-29.8,-61.63,-0.219
Cotton,-82.6,-38.94,-61.24,-0.29
Cotton,-117.94,-34.1,-60.15,-0.13
Cotton,-91.12,-34.51,-67.04,-0.148
Cotton,-109.13,-20.24,-92.02,-0.186
Cotton,-107.94,-25.09,-75.92,-0.266
Cotton,-84.33,-32.02,-75.64,-0.116
Cotton,-81.67,-39.1,-64.04,-0.276
Cotton,-105.71,-26.62,-73.38,-0.261
Cotton,-111.4,-25.96,-65.32,-0.105
Cotton,-101.69,-24.71,-66.39,-0.186
Cotton,-117.1,-23.92,-71.93,-0.278
Cotton,-116.88,-33.9,-93.17,-0.175
Cotton,-103.12,-30.2,-94.55,-0.224
Cotton,-103.98,-34.15,-92.2,-0.264
Cotton,-88.85,-31.77,-64.61,-0.215
Cotton,-100.56,-25.61,-80.56,-0.121
Cotton,-94.93,-33.86,-68.84,-0.112
Cotton,-84.49,-27.36,-98.95,-0.232
Cotton,-87.4,-35.74,-67.97,-0.147
Cotton,-84.48,-25.2,-61.62,-0.238
Cotton,-118.53,-37.22,-73.45,-0.211
Cotton,-81.6,-23.9,-93.51,-0.152
Cotton,-108.11,-36.62,-62.35,-0.222
Cotton,-93.61,-22.46,-64.52,-0.193
Cotton,-82.57,-33.0,-73.65,-0.114
Cotton,-104.37,-37.86,-63.1,-0.278
Cotton,-84.64,-39.25,-96.26,-0.229
Cotton,-85.56,-26.61,-60.04,-0.172
Cotton,-100.08,-20.35,-90.17,-0.226
Cotton,-98.03,-25.33,-78.5,-0.271
Cotton,-116.38,-30.76,-75.44,-0.289
Cotton,-110.51,-35.37,-93.57,-0.283
Cotton,-97.78,-32.12,-79.4,-0.293
Cotton,-82.18,-29.32,-78.64,-0.288
Cotton,-118.22,-39.62,-88.69,-0.136
Cotton,-119.74,-37.34,-78.78,-0.189
Cotton,-91.57,-30.93,-79.54,-0.126
Cotton,-116.89,-33.8,-96.08,-0.134
Cotton,-96.47,-20.03,-98.59,-0.165
Cotton,-80.22,-21.56,-92.08,-0.216
Cotton,-100.64,-31.63,-91.97,-0.155
Cotton,-111.05,-31.45,-86.99,-0.217
Cotton,-94.25,-37.58,-76.94,-0.166
Cotton,-80.79,-38.77,-63.6,-0.153
Cotton,-119.05,-21.03,-99.95,-0.207
Cotton,-100.72,-39.35,-87.62,-0.216
Cotton,-103.95,-37.21,-95.23,-0.279
Cotton,-119.14,-35.8,-66.41,-0.104
Cotton,-93.64,-29.43,-77.41,-0.117
Cotton,-87.88,-33.26,-60.66,-0.268
Cotton,-91.3,-21.13,-96.11,-0.281
Cotton,-100.7,-25.2,-80.84,-0.152
Cotton,-119.61,-23.05,-61.87,-0.102
Cotton,-87.07,-24.75,-84.03,-0.141
Cotton,-95.96,-36.83,-94.51,-0.136
Cotton,-96.17,-30.22,-61.47,-0.293
Cotton,-111.65,-35.55,-72.1,-0.236
Cotton,-98.31,-30.17,-67.83,-0.121
Cotton,-115.01,-38.65,-77.48,-0.296
Cotton,-118.94,-29.84,-75.39,-0.295
Cotton,-99.26,-24.5,-88.44,-0.185
Cotton,-106.39,-21.2,-94.79,-0.28
Cotton,-105.56,-26.66,-71.29,-0.138
Cotton,-87.18,-34.54,-64.64,-0.105
Cotton,-96.17,-30.03,-94.5,-0.126
Cotton,-114.9,-35.71,-73.02,-0.272
Cotton,-80.23,-21.21,-95.84,-0.183
Cotton,-108.37,-34.84,-70.78,-0.228
Jute,-74.74,-19.98,-87.23,-0.278
Jute,-71.87,-21.76,-84.35,-0.231
Jute,-57.27,-18.38,-76.49,-0.265
Jute,-75.32,-22.51,-95.58,-0.206
Jute,-55.47,-22.53,-70.05,-0.215
Jute,-59.22,-19.23,-98.03,-0.206
Jute,-73.61,-15.64,-76.53,-0.179
Jute,-51.07,-22.34,-57.83,-0.103
Jute,-67.32,-21.5,-68.13,-0.206
Jute,-62.81,-23.62,-74.88,-0.239
Jute,-60.96,-16.64,-79.4,-0.276
Jute,-50.86,-22.21,-81.27,-0.142
Jute,-66.83,-18.7,-78.95,-0.109
Jute,-63.86,-18.41,-83.1,-0.165
Jute,-65.92,-15.36,-99.44,-0.197
Jute,-55.28,-21.18,-79.31,-0.139
Jute,-60.92,-19.2,-77.59,-0.114
Jute,-54.77,-23.83,-71.13,-0.14
Jute,-70.19,-16.7,-81.56,-0.241
Jute,-56.88,-15.79,-53.65,-0.183
Jute,-56.0,-23.45,-84.6,-0.297
Jute,-64.2,-23.26,-93.66,-0.274
Jute,-50.55,-15.07,-98.97,-0.242
Jute,-59.75,-15.2,-76.8,-0.264
Jute,-51.78,-23.02,-83.17,-0.124
Jute,-59.78,-23.82,-64.58,-0.15
Jute,-63.0,-16.25,-55.92,-0.217
Jute,-72.31,-17.08,-60.27,-0.262
Jute,-62.18,-18.72,-80.26,-0.135
Jute,-59.46,-20.17,-95.85,-0.173
Jute,-79.07,-19.17,-80.7,-0.232
Jute,-63.52,-15.38,-61.83,-0.117
Jute,-69.19,-23.3,-82.55,-0.133
Jute,-60.03,-16.23,-83.39,-0.199
Jute,-65.19,-16.8,-60.47,-0.272
Jute,-71.83,-19.54,-80.35,-0.189
Jute,-78.72,-17.99,-94.35,-0.175
Jute,-77.71,-17.29,-58.28,-0.202
Jute,-75.13,-17.34,-87.19,-0.216
Jute,-55.1,-22.66,-78.72,-0.182
Jute,-78.72,-15.96,-76.81,-0.168
Jute,-79.49,-16.86,-74.94,-0.273
Jute,-59.74,-17.48,-62.18,-0.239
Jute,-59.17,-21.4,-92.58,-0.21
Jute,-64.73,-17.09,-85.72,-0.14
Jute,-59.18,-17.1,-63.96,-0.268
Jute,-61.87,-18.36,-51.63,-0.15
Jute,-50.5,-20.5,-65.7,-0.25
Jute,-58.9,-22.13,-50.25,-0.121
Jute,-61.03,-20.41,-60.14,-0.133
Jute,-57.39,-18.1,-52.49,-0.129
Jute,-75.81,-24.07,-83.68,-0.257
Jute,-77.5,-23.1,-67.5,-0.225
Jute,-65.3,-23.93,-79.4,-0.237
Jute,-53.47,-24.34,-67.99,-0.201
Jute,-64.2,-15.24,-78.05,-0.123
Jute,-76.8,-21.64,-83.03,-0.152
Jute,-73.74,-15.7,-77.14,-0.225
Jute,-54.54,-23.86,-51.19,-0.166
Jute,-55.01,-17.57,-57.98,-0.187
Jute,-71.29,-16.84,-99.6,-0.228
Jute,-69.4,-21.58,-84.28,-0.132
Jute,-72.98,-20.9,-65.69,-0.167
Jute,-55.55,-19.56,-78.6,-0.146
Jute,-70.66,-19.97,-75.65,-0.166
Jute,-62.04,-16.34,-57.13,-0.23
Jute,-50.34,-20.04,-64.76,-0.27
Jute,-67.44,-18.54,-94.63,-0.177
Jute,-77.9,-18.59,-70.42,-0.212
Jute,-69.36,-21.62,-97.69,-0.194
Jute,-63.06,-24.64,-75.61,-0.272
Jute,-61.3,-18.6,-90.28,-0.166
Jute,-78.62,-18.29,-50.79,-0.292
Jute,-64.71,-16.08,-88.6,-0.214
Jute,-72.81,-19.16,-69.37,-0.158
Jute,-60.39,-15.26,-73.17,-0.193
Jute,-63.03,-25.0,-95.51,-0.143
Jute,-66.54,-20.82,-90.41,-0.208
Jute,-76.3,-21.92,-97.38,-0.275
Jute,-79.91,-15.67,-86.27,-0.235
Jute,-78.81,-21.1,-90.98,-0.196
Jute,-79.15,-15.29,-52.4,-0.241
Jute,-53.33,-20.32,-58.92,-0.296
Jute,-72.0,-17.42,-92.86,-0.192
Jute,-56.3,-18.64,-98.67,-0.144
Jute,-69.73,-22.75,-83.21,-0.13
Jute,-54.95,-24.84,-88.92,-0.117
Jute,-76.43,-15.91,-64.19,-0.163
Jute,-70.71,-19.38,-52.38,-0.211
Jute,-71.39,-16.03,-58.24,-0.182
Jute,-65.07,-17.37,-76.88,-0.112
Jute,-79.88,-22.23,-85.21,-0.189
Jute,-74.01,-21.56,-91.36,-0.29
Jute,-62.04,-21.49,-64.84,-0.277
Jute,-73.18,-19.82,-81.96,-0.107
Jute,-51.16,-22.17,-76.9,-0.266
Jute,-78.12,-18.19,-53.73,-0.13
Jute,-75.69,-20.79,-80.87,-0.209
Jute,-75.79,-24.01,-84.85,-0.292
Jute,-59.04,-19.31,-68.65,-0.147
Jute,-72.13,-21.22,-99.34,-0.249
Jute,-79.86,-17.14,-65.9,-0.252
Jute,-64.41,-24.1,-84.98,-0.185
Jute,-74.67,-21.79,-61.68,-0.276
Jute,-69.26,-21.48,-77.36,-0.205
Jute,-50.55,-16.07,-93.11,-0.251
Jute,-76.04,-17.23,-79.65,-0.145
Jute,-67.85,-17.42,-92.07,-0.119
Jute,-72.67,-16.83,-73.21,-0.27
Jute,-53.41,-16.77,-72.17,-0.268
Jute,-56.43,-20.8,-63.15,-0.227
Jute,-64.0,-22.93,-69.1,-0.229
Jute,-60.67,-19.82,-91.77,-0.216
Jute,-74.62,-24.9,-73.01,-0.225
Jute,-62.2,-22.22,-65.04,-0.217
Jute,-79.16,-16.01,-98.5,-0.153
Jute,-56.02,-23.75,-80.54,-0.227
Jute,-69.13,-18.89,-81.67,-0.28
Jute,-61.45,-15.92,-89.33,-0.257
Jute,-64.92,-23.75,-74.48,-0.227
Jute,-78.14,-17.59,-97.78,-0.147
Jute,-54.01,-21.74,-66.82,-0.238
Jute,-78.94,-15.16,-55.48,-0.164
Jute,-51.22,-23.95,-76.61,-0.262
Jute,-55.44,-17.47,-88.58,-0.101
Jute,-79.54,-18.65,-57.47,-0.243
Jute,-68.72,-17.75,-99.96,-0.169
Jute,-56.43,-20.72,-97.43,-0.14
Jute,-50.52,-18.76,-91.76,-0.262
Jute,-69.64,-16.86,-79.39,-0.291
Jute,-76.36,-22.03,-81.58,-0.25
Jute,-63.66,-19.47,-68.57,-0.246
Jute,-58.36,-23.76,-95.08,-0.159
Jute,-76.17,-24.23,-78.44,-0.13
Jute,-61.23,-19.15,-81.92,-0.241
Jute,-78.82,-17.54,-92.58,-0.23
Jute,-75.84,-20.43,-78.61,-0.243
Jute,-51.17,-21.1,-91.48,-0.269
Jute,-71.41,-20.9,-61.9,-0.174
Jute,-51.44,-21.52,-82.88,-0.254
Jute,-73.15,-20.24,-79.92,-0.229
Jute,-63.23,-16.27,-79.34,-0.238
Jute,-76.6,-24.0,-62.0,-0.242
Jute,-72.57,-15.35,-65.62,-0.263
Jute,-52.19,-18.75,-82.92,-0.268
Jute,-74.32,-15.96,-90.98,-0.207
Jute,-70.06,-16.74,-98.18,-0.24
Jute,-61.24,-23.78,-98.61,-0.265
Jute,-70.73,-18.68,-70.44,-0.139
Jute,-67.36,-21.52,-67.02,-0.29
Jute,-52.38,-16.74,-84.55,-0.217
Jute,-55.48,-16.63,-55.99,-0.204
Jute,-73.76,-21.36,-98.27,-0.253
Jute,-53.11,-23.56,-99.32,-0.297
Jute,-59.62,-20.47,-89.15,-0.239
Jute,-74.22,-21.33,-92.32,-0.266
Jute,-61.1,-19.62,-92.9,-0.148
Jute,-70.56,-24.75,-80.91,-0.13
Jute,-55.17,-24.57,-85.88,-0.212
Jute,-61.76,-17.29,-92.02,-0.116
Jute,-60.85,-17.63,-74.65,-0.179
Jute,-67.06,-24.67,-59.78,-0.169
Jute,-51.72,-23.18,-90.39,-0.261
Jute,-53.24,-20.48,-88.44,-0.217
Jute,-60.39,-20.62,-65.3,-0.154
Jute,-51.08,-16.95,-99.65,-0.28
Jute,-67.27,-18.9,-60.4,-0.275
Jute,-58.98,-16.81,-62.09,-0.172
Jute,-65.62,-19.21,-53.34,-0.276
Jute,-65.6,-22.57,-57.74,-0.282
Jute,-55.76,-24.27,-84.93,-0.142
Jute,-56.46,-22.74,-77.88,-0.12
Jute,-65.33,-22.94,-70.01,-0.254
Jute,-71.14,-21.8,-96.59,-0.192
Jute,-54.74,-19.02,-76.45,-0.237
Jute,-62.55,-19.83,-63.53,-0.102
Jute,-50.47,-20.49,-72.51,-0.245
Jute,-65.29,-18.63,-60.9,-0.202
Jute,-66.42,-22.85,-75.31,-0.268
Jute,-65.46,-17.71,-51.69,-0.223
Jute,-52.68,-22.34,-56.89,-0.292
Jute,-64.39,-15.28,-90.95,-0.139
Jute,-53.02,-22.19,-78.06,-0.142
Jute,-78.26,-17.85,-99.78,-0.114
Jute,-73.03,-18.11,-98.14,-0.15
Jute,-60.2,-23.96,-76.89,-0.173
Jute,-77.12,-22.1,-55.63,-0.197
Jute,-58.67,-22.15,-92.79,-0.137
Jute,-62.98,-22.24,-70.25,-0.125
Jute,-56.44,-22.93,-51.25,-0.218
Jute,-61.05,-15.51,-51.61,-0.278
Jute,-72.94,-20.43,-75.83,-0.127
Jute,-55.12,-24.43,-67.83,-0.19
Jute,-59.64,-23.16,-92.42,-0.267
Jute,-74.63,-22.54,-78.93,-0.177
Jute,-72.01,-20.84,-98.45,-0.131
Jute,-69.91,-15.95,-65.38,-0.163
Jute,-52.5,-19.03,-61.68,-0.185
Jute,-71.46,-17.98,-57.23,-0.204
Jute,-72.55,-19.65,-72.96,-0.19
Muskmelon,-60.98,-17.52,-74.69,-0.164
Muskmelon,-45.86,-18.16,-65.64,-0.199
Muskmelon,-47.33,-21.46,-61.55,-0.178
Muskmelon,-40.75,-23.46,-54.56,-0.1
Muskmelon,-67.5,-21.44,-65.02,-0.168
Muskmelon,-48.42,-19.63,-63.18,-0.189
Muskmelon,-50.59,-19.36,-64.0,-0.153
Muskmelon,-48.94,-22.53,-55.98,-0.168
Muskmelon,-60.69,-15.15,-70.43,-0.178
Muskmelon,-40.29,-24.57,-73.69,-0.137
Muskmelon,-58.03,-23.2,-71.71,-0.148
Muskmelon,-55.27,-16.81,-51.55,-0.149
Muskmelon,-51.06,-21.58,-57.73,-0.142
Muskmelon,-51.82,-22.89,-53.7,-0.18
Muskmelon,-64.62,-22.68,-64.94,-0.154
Muskmelon,-45.85,-24.18,-71.5,-0.182
Muskmelon,-60.2,-17.2,-72.09,-0.115
Muskmelon,-66.82,-19.34,-68.43,-0.155
Muskmelon,-53.09,-21.44,-51.4,-0.197
Muskmelon,-66.83,-22.37,-54.16,-0.128
Muskmelon,-63.34,-19.55,-68.47,-0.127
Muskmelon,-60.88,-20.23,-70.93,-0.191
Muskmelon,-57.22,-21.83,-65.94,-0.17
Muskmelon,-67.03,-21.0,-70.02,-0.105
Muskmelon,-49.45,-23.71,-55.74,-0.171
Muskmelon,-61.02,-24.28,-56.03,-0.146
Muskmelon,-68.46,-20.95,-52.33,-0.125
Muskmelon,-61.91,-23.85,-54.3,-0.137
Muskmelon,-43.79,-15.74,-62.56,-0.183
Muskmelon,-40.46,-19.1,-74.13,-0.135
Muskmelon,-40.37,-18.84,-74.64,-0.156
Muskmelon,-69.04,-20.28,-61.75,-0.142
Muskmelon,-49.6,-18.92,-58.89,-0.195
Muskmelon,-57.92,-21.06,-52.95,-0.115
Muskmelon,-69.24,-15.3,-71.29,-0.167
Muskmelon,-57.75,-16.91,-70.28,-0.137
Muskmelon,-41.68,-15.92,-64.51,-0.174
Muskmelon,-64.93,-19.05,-75.64,-0.179
Muskmelon,-45.47,-20.73,-74.7,-0.104
Muskmelon,-44.62,-17.98,-62.01,-0.125
Muskmelon,-60.74,-19.27,-71.97,-0.173
Muskmelon,-57.62,-21.44,-51.52,-0.158
Muskmelon,-49.84,-16.26,-73.49,-0.143
Muskmelon,-52.86,-21.26,-56.69,-0.107
Muskmelon,-42.25,-23.2,-69.99,-0.134
Muskmelon,-66.19,-17.07,-73.21,-0.139
Muskmelon,-63.74,-22.97,-65.96,-0.133
Muskmelon,-67.48,-21.77,-52.62,-0.123
Muskmelon,-40.89,-20.59,-78.92,-0.115
Muskmelon,-64.91,-23.57,-65.69,-0.177
Muskmelon,-59.64,-21.32,-50.16,-0.197
Muskmelon,-58.89,-24.96,-69.25,-0.153
Muskmelon,-46.75,-23.38,-65.14,-0.161
Muskmelon,-43.9,-23.67,-66.6,-0.11
Muskmelon,-67.1,-24.35,-54.71,-0.181
Muskmelon,-58.08,-19.54,-74.99,-0.183
Muskmelon,-59.86,-22.96,-65.33,-0.162
Muskmelon,-55.93,-24.58,-65.43,-0.113
Muskmelon,-48.18,-24.01,-58.98,-0.142
Muskmelon,-51.28,-17.37,-55.56,-0.189
Muskmelon,-61.18,-17.64,-52.17,-0.156
Muskmelon,-46.6,-19.64,-51.57,-0.119
Muskmelon,-43.04,-18.32,-73.41,-0.194
Muskmelon,-50.52,-22.02,-52.68,-0.175
Muskmelon,-56.37,-22.95,-73.66,-0.122
Muskmelon,-66.59,-19.89,-51.84,-0.171
Muskmelon,-69.52,-21.07,-79.81,-0.113
Muskmelon,-63.6,-22.52,-63.45,-0.106
